horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
1,13,2022-07,2023-01,COMB,98,15506,37.8,36.7,32.7,5.1,4.1
1,13,2022-07,2023-01,HNB,98,15506,40.8,40.8,26.5,14.3,14.3
1,13,2022-07,2023-01,LFIN,97,15506,30.9,38.1,39.2,-8.2,-1.0
1,13,2022-07,2023-01,LOFC,96,15506,45.8,58.3,41.7,4.2,16.7
1,13,2022-07,2023-01,LOLC,97,15506,47.4,45.4,47.4,0.0,-2.1
1,13,2022-07,2023-01,SAMP,124,15506,50.8,48.4,35.5,15.3,12.9
1,14,2023-01,2023-07,CFIN,117,16219,47.9,35.0,36.8,11.1,-1.7
1,14,2023-01,2023-07,COMB,119,16219,51.3,47.1,35.3,16.0,11.8
1,14,2023-01,2023-07,HNB,118,16219,41.5,34.7,40.7,0.8,-5.9
1,14,2023-01,2023-07,LFIN,119,16219,43.7,40.3,41.2,2.5,-0.8
1,14,2023-01,2023-07,LOFC,119,16219,46.2,42.9,34.5,11.8,8.4
1,14,2023-01,2023-07,LOLC,119,16219,45.4,38.7,42.0,3.4,-3.4
1,14,2023-01,2023-07,SAMP,119,16219,44.5,44.5,43.7,0.8,0.8
1,15,2023-07,2024-01,CFIN,123,17056,40.7,43.1,37.4,3.3,5.7
1,15,2023-07,2024-01,COMB,123,17056,40.7,43.9,39.8,0.8,4.1
1,15,2023-07,2024-01,HNB,123,17056,30.1,36.6,39.0,-8.9,-2.4
1,15,2023-07,2024-01,LFIN,123,17056,36.6,39.0,27.6,8.9,11.4
1,15,2023-07,2024-01,LOFC,123,17056,19.5,36.6,43.9,-24.4,-7.3
1,15,2023-07,2024-01,LOLC,123,17056,31.7,33.3,43.9,-12.2,-10.6
1,15,2023-07,2024-01,SAMP,123,17056,35.0,41.5,36.6,-1.6,4.9
1,16,2024-01,2024-07,CFIN,115,17917,37.4,40.0,33.0,4.3,7.0
1,16,2024-01,2024-07,COMB,115,17917,41.7,43.5,37.4,4.3,6.1
1,16,2024-01,2024-07,HNB,115,17917,31.3,36.5,41.7,-10.4,-5.2
1,16,2024-01,2024-07,LFIN,115,17917,40.0,44.3,36.5,3.5,7.8
1,16,2024-01,2024-07,LOFC,115,17917,38.3,37.4,31.3,7.0,6.1
1,16,2024-01,2024-07,LOLC,115,17917,33.0,30.4,38.3,-5.2,-7.8
1,16,2024-01,2024-07,SAMP,115,17917,40.9,47.8,47.8,-7.0,0.0
1,17,2024-07,2025-01,CFIN,125,18722,44.0,40.0,34.4,9.6,5.6
1,17,2024-07,2025-01,COMB,122,18722,41.8,39.3,46.7,-4.9,-7.4
1,17,2024-07,2025-01,HNB,125,18722,44.0,43.2,38.4,5.6,4.8
1,17,2024-07,2025-01,LFIN,125,18722,44.0,36.8,40.8,3.2,-4.0
1,17,2024-07,2025-01,LOFC,125,18722,34.4,36.8,36.0,-1.6,0.8
1,17,2024-07,2025-01,LOLC,125,18722,36.0,40.0,38.4,-2.4,1.6
1,17,2024-07,2025-01,SAMP,125,18722,44.0,50.4,36.8,7.2,13.6
1,18,2025-01,2025-07,CFIN,114,19587,29.8,37.7,35.1,-5.3,2.6
1,18,2025-01,2025-07,COMB,114,19587,35.1,41.2,43.0,-7.9,-1.8
1,18,2025-01,2025-07,HNB,114,19587,36.8,41.2,45.6,-8.8,-4.4
1,18,2025-01,2025-07,LFIN,114,19587,39.5,43.9,36.0,3.5,7.9
1,18,2025-01,2025-07,LOFC,114,19587,32.5,34.2,33.3,-0.9,0.9
