date,spsl20_points
2018-01-29,3749.8899
2018-01-30,3737.5801
2018-01-31,3747.3
2018-02-02,3743.1699
2018-02-05,3751.95
2018-02-07,3736.6399
2018-02-08,3729.47
2018-02-09,3738.79
2018-02-12,3730.1799
2018-02-13,3714.97
2018-02-15,3698.8
2018-02-16,3701.01
2018-02-19,3705.21
2018-02-20,3699.72
2018-02-21,3714.75
2018-02-22,3735.55
2018-02-23,3722.55
2018-02-26,3728.3101
2018-02-27,3723.4099
2018-02-28,3723.55
2018-03-01,3710.1399
2018-03-05,3717.55
2018-03-06,3721.97
2018-03-07,3710.8201
2018-03-08,3681.26
2018-03-09,3692.79
2018-03-12,3698.5701
2018-03-13,3681.25
2018-03-14,3681.05
2018-03-15,3665.52
2018-03-16,3666.3501
2018-03-19,3679.9299
2018-03-20,3669.46
2018-03-21,3641.46
2018-03-22,3626.5601
2018-03-23,3624.99
2018-03-26,3623.6399
2018-03-27,3635.3501
2018-03-28,3635.02
2018-03-29,3639.52
2018-03-30,3650.1001
2018-04-03,3634.03
2018-04-04,3636.02
2018-04-05,3640.1899
2018-04-06,3657.1599
2018-04-09,3656.1599
2018-04-10,3646.98
2018-04-11,3656.6101
2018-04-12,3666.95
2018-04-13,3676.98
2018-04-17,3671.29
2018-04-18,3687.6201
2018-04-19,3690.79
2018-04-20,3676.5
2018-04-23,3679.23
2018-04-24,3675.52
2018-04-25,3681.6001
2018-04-26,3684.3501
2018-04-27,3678.26
2018-04-30,3660.1001
2018-05-02,3655.8201
2018-05-03,3642.79
2018-05-04,3649.3999
2018-05-07,3640.48
2018-05-09,3632.6101
2018-05-10,3631.72
2018-05-11,3625.8601
2018-05-14,3622.1101
2018-05-15,3609.04
2018-05-16,3616.1599
2018-05-17,3620.55
2018-05-18,3609.8799
2018-05-21,3628.74
2018-05-22,3624.4099
2018-05-23,3613.9399
2018-05-24,3611.4399
2018-05-25,3616.3301
2018-05-28,3620.71
2018-05-29,3616.1299
2018-05-31,3585.53
2018-06-01,3567.04
2018-06-04,3581.23
2018-06-05,3574.3701
2018-06-06,3592.6599
2018-06-07,3578.4399
2018-06-08,3557.76
2018-06-11,3539.9299
2018-06-12,3544.99
2018-06-13,3538.1499
2018-06-14,3532.0901
2018-06-15,3526.9299
2018-06-19,3513.8899
2018-06-20,3473.52
2018-06-21,3430.73
2018-06-22,3431.3
2018-06-25,3428.0
2018-06-26,3421.0601
2018-06-27,3397.8899
2018-06-29,3390.1499
2018-07-02,3388.8799
2018-07-03,3348.28
2018-07-04,3303.1101
2018-07-05,3280.8
2018-07-06,3295.6899
2018-07-09,3323.52
2018-07-10,3298.23
2018-07-11,3305.5901
2018-07-12,3318.3999
2018-07-13,3336.4099
2018-07-16,3334.8201
2018-07-17,3336.0701
2018-07-18,3378.55
2018-07-19,3360.1599
2018-07-20,3389.76
2018-07-23,3400.4299
2018-07-24,3397.6599
2018-07-25,3392.23
2018-07-26,3381.1499
2018-07-27,3360.3701
2018-07-31,3338.1499
2018-08-01,3333.4199
2018-08-02,3305.22
2018-08-03,3309.5
2018-08-06,3322.25
2018-08-07,3308.3899
2018-08-08,3286.3799
2018-08-09,3312.53
2018-08-10,3332.3301
2018-08-13,3316.47
2018-08-14,3302.1899
2018-08-15,3275.1599
2018-08-16,3267.75
2018-08-17,3248.1599
2018-08-20,3238.25
2018-08-21,3227.6101
2018-08-22,3213.99
2018-08-24,3215.6101
2018-08-27,3212.8601
2018-08-28,3214.75
2018-08-29,3196.97
2018-08-30,3225.1799
2018-08-31,3241.0
2018-09-03,3229.21
2018-09-04,3232.3201
2018-09-05,3224.98
2018-09-06,3223.8899
2018-09-07,3221.8999
2018-09-10,3216.8201
2018-09-11,3197.77
2018-09-12,3202.74
2018-09-13,3170.6799
2018-09-14,3167.4199
2018-09-17,3139.77
2018-09-18,3130.28
2018-09-19,3072.3201
2018-09-20,3077.3601
2018-09-21,3030.77
2018-09-24,3016.76
2018-09-26,2979.29
2018-09-27,3019.5801
2018-09-28,3009.3101
2018-10-01,3002.0
2018-10-02,2970.0601
2018-10-03,2963.03
2018-10-04,2969.6001
2018-10-05,2978.6599
2018-10-08,3010.6001
2018-10-09,3038.1201
2018-10-10,3002.1399
2018-10-11,3000.1599
2018-10-12,2965.8201
2018-10-15,2946.6299
2018-10-16,2909.0801
2018-10-17,2935.8999
2018-10-18,2917.45
2018-10-19,2932.5601
2018-10-22,2916.8201
2018-10-23,2920.6699
2018-10-24,2932.23
2018-10-26,2927.6499
2018-10-29,2997.3301
2018-10-30,3058.5901
2018-10-31,3083.2
2018-11-01,3084.0801
2018-11-02,3221.0701
2018-11-05,3208.4299
2018-11-06,3190.5801
2018-11-08,3110.6399
2018-11-09,3063.8201
2018-11-12,3094.21
2018-11-13,3105.98
2018-11-14,3128.8701
2018-11-15,3087.48
2018-11-16,3105.5701
2018-11-19,3109.5
2018-11-20,3114.0601
2018-11-22,3114.51
2018-11-26,3106.97
2018-11-27,3116.98
2018-11-28,3148.49
2018-11-29,3148.96
2018-11-30,3159.76
2018-12-03,3178.51
2018-12-04,3201.0801
2018-12-05,3179.1101
2018-12-06,3176.6499
2018-12-07,3195.0601
2018-12-10,3193.99
2018-12-11,3172.3799
2018-12-12,3148.48
2018-12-13,3151.0
2018-12-14,3154.4199
2018-12-17,3149.4299
2018-12-18,3141.9099
2018-12-19,3127.8899
2018-12-20,3128.6699
2018-12-21,3120.49
2018-12-24,3108.1799
2018-12-25,3124.73
2018-12-27,3121.5
2018-12-28,3116.8999
2018-12-31,3115.4199
2019-01-01,3135.1799
2019-01-03,3111.0701
2019-01-04,3091.52
2019-01-07,3105.75
2019-01-08,3070.2
2019-01-09,3049.95
2019-01-10,3036.0901
2019-01-11,3037.6299
2019-01-14,3036.6101
2019-01-15,3040.73
2019-01-17,3044.72
2019-01-18,3053.25
