time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1668056400,39.9,39.9,39.5,39.5,40.28499999999997,41.57848366824067,38.991516331759264,150,0.1965558903933962
1668060000,40.5,40.5,40.5,40.5,40.289999999999964,41.585993827148364,38.99400617285156,752,0.5810189044117993
1668063600,40.5,40.5,40.5,40.5,40.289999999999964,41.585993827148364,38.99400617285156,40,0.5810189044117993
1668139200,40.6,40.6,39.6,40,40.264999999999965,41.56311401656668,38.96688598343325,3916,0.39792884268330914
1668142800,40.9,40.9,40,40,40.25499999999997,41.55803491895129,38.95196508104864,5121,0.40215150941419536
1668146400,41,41,41,41,40.25499999999997,41.55803491895129,38.95196508104864,1,0.785871080338969
1668150000,40.9,40.9,40.9,40.9,40.25999999999997,41.57209755735053,38.94790244264941,110,0.7438843043395118
1668398400,40.9,40.9,40.9,40.9,40.229999999999976,41.45163824432754,39.00836175567241,50,0.7742219323564219
1668402000,40.8,40.8,40,40.7,40.254999999999974,41.49350716590738,39.01649283409257,1640,0.6796517663561494
1668409200,40.6,40.6,40.6,40.6,40.23499999999997,41.43712312181627,39.03287687818367,15,0.6518147323580917
1668484800,40,40,40,40,40.20999999999997,41.40983332175977,39.010166678240175,307,0.4124878446899753
1668488400,40,40,39.4,39.5,40.13499999999998,41.315296572901445,38.95470342709851,16693,0.2309998120053058
1668492000,39.5,39.5,39.5,39.5,40.104999999999976,41.3173943252934,38.89260567470655,701,0.2504937183479668
1668495600,39.5,39.5,39.3,39.5,40.06999999999997,41.309516034589485,38.83048396541046,10012,0.27007155047060893
1668571200,40,40,39.2,39.2,40.06499999999997,41.31763721803481,38.81236278196513,6955,0.1547284450972194
1668574800,39.2,39.3,39.1,39.3,40.06499999999997,41.31763721803481,38.81236278196513,5403,0.19464423179118173
1668578400,39.1,39.1,39.1,39.1,40.069999999999965,41.30628475684502,38.83371524315491,200,0.107695559364752
1668582000,39.1,39.3,39.1,39.1,40.029999999999966,41.335526713632014,38.72447328636792,5306,0.14382191865969088
1668657600,39.1,39.1,39.1,39.1,39.93999999999996,41.2413838788031,38.638616121196826,670,0.1772666337420376
1668661200,39,39.1,38.9,39,39.89499999999997,41.25951456569952,38.53048543430042,1142,0.1720445415175453
1668664800,39,39,39,39,39.86999999999997,41.28010637896775,38.45989362103219,47,0.1915126358633945
