horizon_days,fold,test_from,ticker,n_test,own_baseline_%,sent_share_%,acc_A_%,edge_A_pp,acc_D_%,edge_D_pp,acc_H_%,edge_H_pp,acc_S_%,edge_S_pp
10,4,2021-01,HNB,114,35.1,29.9,34.2,-0.9,41.2,6.1,48.2,13.2,36.0,0.9
10,4,2021-01,LFIN,110,50.9,29.9,42.7,-8.2,58.2,7.3,55.5,4.5,44.5,-6.4
10,4,2021-01,LOFC,114,36.8,29.9,50.0,13.2,59.6,22.8,57.9,21.1,50.0,13.2
10,4,2021-01,LOLC,114,56.1,29.9,41.2,-14.9,56.1,0.0,60.5,4.4,43.9,-12.3
10,4,2021-01,SAMP,111,38.7,29.9,18.0,-20.7,22.5,-16.2,21.6,-17.1,27.9,-10.8
10,5,2021-07,CFIN,124,37.9,30.6,41.9,4.0,40.3,2.4,43.5,5.6,40.3,2.4
10,5,2021-07,COMB,124,34.7,30.6,40.3,5.6,32.3,-2.4,25.8,-8.9,34.7,0.0
10,5,2021-07,HNB,124,48.4,30.6,34.7,-13.7,47.6,-0.8,40.3,-8.1,33.1,-15.3
10,5,2021-07,LFIN,124,29.8,30.6,33.9,4.0,45.2,15.3,45.2,15.3,46.0,16.1
10,5,2021-07,LOFC,124,37.1,30.6,48.4,11.3,61.3,24.2,63.7,26.6,54.0,16.9
10,5,2021-07,LOLC,124,42.7,30.6,53.2,10.5,68.5,25.8,70.2,27.4,71.8,29.0
10,5,2021-07,SAMP,124,27.4,30.6,33.9,6.5,38.7,11.3,28.2,0.8,27.4,0.0
10,6,2022-01,CFIN,78,70.5,30.4,50.0,-20.5,39.7,-30.8,42.3,-28.2,23.1,-47.4
10,6,2022-01,COMB,78,56.4,30.4,48.7,-7.7,30.8,-25.6,34.6,-21.8,41.0,-15.4
10,6,2022-01,HNB,78,64.1,30.4,24.4,-39.7,28.2,-35.9,26.9,-37.2,23.1,-41.0
10,6,2022-01,LFIN,78,56.4,30.4,41.0,-15.4,41.0,-15.4,43.6,-12.8,24.4,-32.1
10,6,2022-01,LOFC,77,75.3,30.4,62.3,-13.0,46.8,-28.6,39.0,-36.4,33.8,-41.6
10,6,2022-01,LOLC,78,51.3,30.4,56.4,5.1,48.7,-2.6,46.2,-5.1,30.8,-20.5
10,6,2022-01,SAMP,89,28.1,30.4,43.8,15.7,34.8,6.7,39.3,11.2,33.7,5.6
22,0,2019-01,CFIN,97,32.0,26.6,33.0,1.0,51.5,19.6,44.3,12.4,34.0,2.1
22,0,2019-01,COMB,115,42.6,26.6,35.7,-7.0,26.1,-16.5,29.6,-13.0,28.7,-13.9
22,0,2019-01,HNB,110,50.0,26.6,33.6,-16.4,26.4,-23.6,29.1,-20.9,38.2,-11.8
22,0,2019-01,LFIN,94,43.6,26.6,43.6,0.0,51.1,7.4,54.3,10.6,31.9,-11.7
22,0,2019-01,LOFC,94,46.8,26.6,59.6,12.8,45.7,-1.1,45.7,-1.1,59.6,12.8
22,0,2019-01,LOLC,93,37.6,26.6,34.4,-3.2,29.0,-8.6,31.2,-6.5,23.7,-14.0
22,0,2019-01,SAMP,116,40.5,26.6,28.4,-12.1,25.0,-15.5,30.2,-10.3,44.0,3.4
22,1,2019-07,CFIN,101,31.7,28.6,37.6,5.9,58.4,26.7,52.5,20.8,48.5,16.8
22,1,2019-07,COMB,123,33.3,28.6,34.1,0.8,28.5,-4.9,31.7,-1.6,34.1,0.8
22,1,2019-07,HNB,119,28.6,28.6,36.1,7.6,40.3,11.8,42.9,14.3,32.8,4.2
22,1,2019-07,LFIN,97,29.9,28.6,33.0,3.1,56.7,26.8,56.7,26.8,51.5,21.6
22,1,2019-07,LOFC,119,35.3,28.6,45.4,10.1,42.9,7.6,39.5,4.2,35.3,0.0
22,1,2019-07,LOLC,113,43.4,28.6,56.6,13.3,46.9,3.5,38.1,-5.3,36.3,-7.1
22,1,2019-07,SAMP,123,36.6,28.6,33.3,-3.3,39.8,3.3,41.5,4.9,34.1,-2.4
22,2,2020-01,CFIN,62,82.3,27.1,40.3,-41.9,24.2,-58.1,24.2,-58.1,53.2,-29.0
22,2,2020-01,COMB,82,54.9,27.1,41.5,-13.4,37.8,-17.1,39.0,-15.9,47.6,-7.3
22,2,2020-01,HNB,80,55.0,27.1,40.0,-15.0,40.0,-15.0,42.5,-12.5,42.5,-12.5
22,2,2020-01,LFIN,71,23.9,27.1,38.0,14.1,19.7,-4.2,22.5,-1.4,33.8,9.9
22,2,2020-01,LOFC,78,65.4,27.1,65.4,0.0,47.4,-17.9,52.6,-12.8,67.9,2.6
22,2,2020-01,LOLC,82,57.3,27.1,40.2,-17.1,52.4,-4.9,63.4,6.1,48.8,-8.5
22,2,2020-01,SAMP,82,41.5,27.1,40.2,-1.2,39.0,-2.4,36.6,-4.9,59.8,18.3
22,3,2020-07,CFIN,122,33.6,27.5,36.1,2.5,41.0,7.4,40.2,6.6,27.0,-6.6
22,3,2020-07,COMB,125,34.4,27.5,36.0,1.6,68.0,33.6,66.4,32.0,28.0,-6.4
22,3,2020-07,HNB,125,43.2,27.5,28.0,-15.2,58.4,15.2,60.0,16.8,33.6,-9.6
22,3,2020-07,LFIN,125,44.0,27.5,30.4,-13.6,58.4,14.4,57.6,13.6,34.4,-9.6
22,3,2020-07,LOFC,125,36.8,27.5,52.8,16.0,70.4,33.6,68.0,31.2,48.8,12.0
22,3,2020-07,LOLC,125,48.8,27.5,43.2,-5.6,75.2,26.4,77.6,28.8,40.8,-8.0
22,3,2020-07,SAMP,125,60.8,27.5,32.0,-28.8,56.0,-4.8,62.4,1.6,30.4,-30.4
22,4,2021-01,CFIN,113,45.1,26.9,45.1,0.0,50.4,5.3,54.0,8.8,38.9,-6.2
22,4,2021-01,COMB,114,45.6,26.9,41.2,-4.4,36.0,-9.6,36.8,-8.8,41.2,-4.4
22,4,2021-01,HNB,114,37.7,26.9,33.3,-4.4,37.7,0.0,43.0,5.3,35.1,-2.6
22,4,2021-01,LFIN,110,26.4,26.9,59.1,32.7,65.5,39.1,54.5,28.2,49.1,22.7
22,4,2021-01,LOFC,114,32.5,26.9,45.6,13.2,62.3,29.8,64.0,31.6,45.6,13.2
