group,horizon_days,model,calibration,test_from,n_test,base_rate_%,actual_up_%,accuracy_%,AUC,Brier,Brier_climatology,Brier_skill,ECE,MCE,prob_spread,prob_std
BANKS,10,Logistic,Platt,2018-01,105,51.8,39.0,38.1,0.292,0.2805,0.2543,-0.103,0.1857,0.6315,0.134,0.0306
BANKS,10,Logistic,isotonic,2018-01,105,51.8,39.0,39.0,0.404,0.2993,0.2543,-0.1768,0.1792,1.0,0.461,0.0897
BANKS,10,XGBoost,raw,2018-01,105,51.8,39.0,42.9,0.354,0.3379,0.2543,-0.3289,0.2557,0.9089,0.825,0.1896
BANKS,10,XGBoost,Platt,2018-01,105,51.8,39.0,39.0,0.354,0.2805,0.2543,-0.1032,0.1875,0.6312,0.121,0.0278
BANKS,10,XGBoost,isotonic,2018-01,105,51.8,39.0,39.0,0.377,0.2908,0.2543,-0.1433,0.2123,0.7,0.253,0.0646
BANKS,10,Logistic,raw,2018-07,103,53.8,38.8,36.9,0.427,0.2924,0.26,-0.1244,0.2812,0.7599,0.563,0.1049
BANKS,10,Logistic,Platt,2018-07,103,53.8,38.8,59.2,0.573,0.2357,0.26,0.0937,0.1397,0.3365,0.436,0.0785
BANKS,10,Logistic,isotonic,2018-07,103,53.8,38.8,61.2,0.506,0.2614,0.26,-0.0051,0.1257,0.5,0.516,0.1209
BANKS,10,XGBoost,raw,2018-07,103,53.8,38.8,38.8,0.419,0.3479,0.26,-0.338,0.3707,0.6775,0.819,0.2174
BANKS,10,XGBoost,Platt,2018-07,103,53.8,38.8,62.1,0.581,0.2451,0.26,0.0576,0.1008,0.1571,0.083,0.0221
BANKS,10,XGBoost,isotonic,2018-07,103,53.8,38.8,32.0,0.366,0.2638,0.26,-0.0144,0.2198,0.5292,0.191,0.0433
BANKS,10,Logistic,raw,2019-01,109,53.1,31.2,37.6,0.389,0.2987,0.2625,-0.1378,0.2562,0.5495,0.53,0.1177
BANKS,10,Logistic,Platt,2019-01,109,53.1,31.2,60.6,0.611,0.2309,0.2625,0.1204,0.144,0.2022,0.351,0.0753
BANKS,10,Logistic,isotonic,2019-01,109,53.1,31.2,56.0,0.432,0.2797,0.2625,-0.0654,0.1938,0.7091,0.338,0.1028
BANKS,10,XGBoost,raw,2019-01,109,53.1,31.2,41.3,0.338,0.3772,0.2625,-0.4369,0.3806,0.8586,0.841,0.2232
BANKS,10,XGBoost,Platt,2019-01,109,53.1,31.2,68.8,0.662,0.2385,0.2625,0.0913,0.1613,0.1613,0.035,0.0093
BANKS,10,XGBoost,isotonic,2019-01,109,53.1,31.2,51.4,0.343,0.2963,0.2625,-0.1287,0.2147,0.8633,0.643,0.1364
BANKS,10,Logistic,raw,2019-07,118,53.1,50.0,61.0,0.633,0.2403,0.251,0.0424,0.07,0.7604,0.462,0.1016
BANKS,10,Logistic,Platt,2019-07,118,53.1,50.0,45.8,0.367,0.2942,0.251,-0.1722,0.2231,0.6283,0.434,0.0952
BANKS,10,Logistic,isotonic,2019-07,118,53.1,50.0,50.0,0.5,0.26,0.251,-0.036,0.1,0.1,0.0,0.0
BANKS,10,XGBoost,raw,2019-07,118,53.1,50.0,51.7,0.489,0.31,0.251,-0.2354,0.1917,0.4561,0.773,0.2067
BANKS,10,XGBoost,Platt,2019-07,118,53.1,50.0,50.0,0.511,0.2608,0.251,-0.039,0.1041,0.106,0.057,0.0154
BANKS,10,XGBoost,isotonic,2019-07,118,53.1,50.0,50.0,0.451,0.2591,0.251,-0.0325,0.0953,0.0953,0.024,0.0072
BANKS,10,Logistic,raw,2020-01,80,53.4,38.8,52.5,0.538,0.2864,0.2589,-0.1059,0.323,0.7617,0.761,0.2132
BANKS,10,Logistic,Platt,2020-01,80,53.4,38.8,68.8,0.462,0.2769,0.2589,-0.0693,0.2995,0.5725,0.552,0.1396
BANKS,10,Logistic,isotonic,2020-01,80,53.4,38.8,66.2,0.492,0.2649,0.2589,-0.023,0.253,0.7763,0.776,0.2409
BANKS,10,XGBoost,raw,2020-01,80,53.4,38.8,65.0,0.781,0.2613,0.2589,-0.0092,0.2628,0.4975,0.842,0.2886
BANKS,10,XGBoost,Platt,2020-01,80,53.4,38.8,61.3,0.219,0.266,0.2589,-0.0271,0.2878,0.3216,0.174,0.0594
BANKS,10,XGBoost,isotonic,2020-01,80,53.4,38.8,61.3,0.742,0.2332,0.2589,0.0994,0.0283,0.0283,0.03,0.0118
BANKS,10,Logistic,raw,2020-07,125,53.3,60.8,49.6,0.335,0.2876,0.244,-0.1785,0.1763,0.8797,0.728,0.1234
BANKS,10,Logistic,Platt,2020-07,125,53.3,60.8,39.2,0.335,0.2899,0.244,-0.1881,0.2136,0.4078,0.136,0.0201
BANKS,10,Logistic,isotonic,2020-07,125,53.3,60.8,39.2,0.387,0.2958,0.244,-0.2122,0.2229,1.0,0.429,0.0379
BANKS,10,XGBoost,raw,2020-07,125,53.3,60.8,54.4,0.505,0.2852,0.244,-0.1686,0.2071,0.6063,0.849,0.2179
BANKS,10,XGBoost,Platt,2020-07,125,53.3,60.8,39.2,0.505,0.2831,0.244,-0.1603,0.2113,0.2278,0.081,0.0209
BANKS,10,XGBoost,isotonic,2020-07,125,53.3,60.8,44.0,0.469,0.2825,0.244,-0.1576,0.2039,0.2938,0.584,0.0835
BANKS,10,Logistic,raw,2021-01,111,52.0,45.9,51.4,0.573,0.2607,0.252,-0.0346,0.1357,0.2425,0.781,0.1452
BANKS,10,Logistic,Platt,2021-01,111,52.0,45.9,55.0,0.573,0.2457,0.252,0.025,0.021,0.3719,0.153,0.0244
BANKS,10,Logistic,isotonic,2021-01,111,52.0,45.9,54.1,0.539,0.2472,0.252,0.0192,0.0245,0.1002,0.227,0.0758
BANKS,10,XGBoost,raw,2021-01,111,52.0,45.9,35.1,0.286,0.4412,0.252,-0.751,0.4128,0.7447,0.85,0.2287
BANKS,10,XGBoost,Platt,2021-01,111,52.0,45.9,38.7,0.286,0.2655,0.252,-0.0536,0.1546,0.4652,0.153,0.0413
BANKS,10,XGBoost,isotonic,2021-01,111,52.0,45.9,36.0,0.228,0.2871,0.252,-0.1392,0.2075,1.0,1.0,0.1039
BANKS,10,Logistic,raw,2021-07,124,51.5,44.4,41.1,0.449,0.2907,0.2519,-0.1541,0.2115,0.3982,0.697,0.1257
BANKS,10,Logistic,Platt,2021-07,124,51.5,44.4,51.6,0.449,0.2498,0.2519,0.0082,0.033,0.1766,0.123,0.02
BANKS,10,Logistic,isotonic,2021-07,124,51.5,44.4,49.2,0.469,0.2513,0.2519,0.0024,0.0454,0.1429,0.374,0.0477
BANKS,10,XGBoost,raw,2021-07,124,51.5,44.4,52.4,0.545,0.2891,0.2519,-0.1478,0.1912,0.3862,0.783,0.1956
BANKS,10,XGBoost,Platt,2021-07,124,51.5,44.4,55.6,0.545,0.2463,0.2519,0.022,0.0268,0.0268,0.053,0.0132
BANKS,10,XGBoost,isotonic,2021-07,124,51.5,44.4,55.6,0.503,0.246,0.2519,0.0233,0.0194,0.0194,0.081,0.0319
BANKS,10,Logistic,raw,2022-01,94,50.3,23.4,58.5,0.528,0.2504,0.2517,0.0048,0.225,0.9651,0.949,0.2049
BANKS,10,Logistic,Platt,2022-01,94,50.3,23.4,70.2,0.472,0.2409,0.2517,0.0426,0.2485,0.2594,0.103,0.0155
BANKS,10,Logistic,isotonic,2022-01,94,50.3,23.4,75.5,0.516,0.2325,0.2517,0.0762,0.2054,1.0,0.75,0.1026
BANKS,10,XGBoost,raw,2022-01,94,50.3,23.4,57.4,0.531,0.2663,0.2517,-0.0584,0.2706,0.8934,0.782,0.206
BANKS,10,XGBoost,Platt,2022-01,94,50.3,23.4,75.5,0.531,0.2325,0.2517,0.0761,0.2317,0.5017,0.066,0.0173
BANKS,10,XGBoost,isotonic,2022-01,94,50.3,23.4,62.8,0.556,0.2252,0.2517,0.1051,0.2125,0.2228,0.126,0.0548
BANKS,10,Logistic,raw,2022-07,98,50.6,41.8,56.1,0.615,0.248,0.251,0.0118,0.1012,0.9292,0.852,0.1842
BANKS,10,Logistic,Platt,2022-07,98,50.6,41.8,58.2,0.385,0.2481,0.251,0.0117,0.0117,0.3631,0.131,0.0223
BANKS,10,Logistic,isotonic,2022-07,98,50.6,41.8,58.2,0.543,0.2392,0.251,0.0469,0.0155,0.2903,0.21,0.0309
BANKS,10,XGBoost,raw,2022-07,98,50.6,41.8,45.9,0.501,0.3279,0.251,-0.3064,0.2934,0.5774,0.787,0.2028
BANKS,10,XGBoost,Platt,2022-07,98,50.6,41.8,58.2,0.501,0.2451,0.251,0.0235,0.0231,0.0231,0.096,0.0249
BANKS,10,XGBoost,isotonic,2022-07,98,50.6,41.8,58.2,0.51,0.2508,0.251,0.0006,0.0347,0.5,0.619,0.0851
