ticker,horizon_days,fold,test_from,model,n_test,MAPE_%,MAE,RMSE,ret_RMSE_pp,dir_acc_%
COMB,1,7,2020-07,"ARIMA(1,1,1)",125,1.242,0.798,1.061,1.653,43.2
COMB,1,7,2020-07,Ridge P (price only),125,1.184,0.762,1.059,1.653,47.2
COMB,1,7,2020-07,XGBoost P (price only),125,1.191,0.766,1.066,1.67,45.6
COMB,1,7,2020-07,Ridge P+M (+macro),125,1.187,0.764,1.055,1.646,46.4
COMB,1,7,2020-07,XGBoost P+M (+macro),125,1.152,0.741,1.037,1.62,47.2
COMB,1,7,2020-07,Ridge P+M+N (+macro+news),125,1.176,0.757,1.057,1.651,50.4
COMB,1,7,2020-07,XGBoost P+M+N (+macro+news),125,1.246,0.802,1.1,1.72,43.2
COMB,1,8,2021-01,naive (no change),114,1.407,1.04,1.443,1.942,4.4
COMB,1,8,2021-01,"ARIMA(1,1,1)",114,1.425,1.052,1.446,1.942,47.4
COMB,1,8,2021-01,Ridge P (price only),114,1.475,1.086,1.406,1.891,46.5
COMB,1,8,2021-01,XGBoost P (price only),114,1.457,1.076,1.44,1.931,50.9
COMB,1,8,2021-01,Ridge P+M (+macro),114,1.474,1.085,1.405,1.89,49.1
COMB,1,8,2021-01,XGBoost P+M (+macro),114,1.492,1.099,1.437,1.944,50.0
COMB,1,8,2021-01,Ridge P+M+N (+macro+news),114,1.468,1.081,1.407,1.894,44.7
COMB,1,8,2021-01,XGBoost P+M+N (+macro+news),114,1.514,1.117,1.473,1.989,47.4
COMB,1,9,2021-07,naive (no change),124,0.801,0.575,0.754,1.044,7.3
COMB,1,9,2021-07,"ARIMA(1,1,1)",124,0.883,0.633,0.802,1.109,39.5
COMB,1,9,2021-07,Ridge P (price only),124,0.96,0.689,0.86,1.19,49.2
COMB,1,9,2021-07,XGBoost P (price only),124,0.909,0.653,0.851,1.179,45.2
COMB,1,9,2021-07,Ridge P+M (+macro),124,1.001,0.718,0.887,1.227,45.2
COMB,1,9,2021-07,XGBoost P+M (+macro),124,0.971,0.696,0.878,1.215,48.4
COMB,1,9,2021-07,Ridge P+M+N (+macro+news),124,0.963,0.691,0.863,1.195,48.4
COMB,1,9,2021-07,XGBoost P+M+N (+macro+news),124,0.946,0.679,0.868,1.201,47.6
COMB,1,10,2022-01,naive (no change),92,1.456,0.823,1.358,2.392,5.4
COMB,1,10,2022-01,"ARIMA(1,1,1)",92,1.553,0.879,1.418,2.49,41.3
COMB,1,10,2022-01,Ridge P (price only),92,1.662,0.937,1.408,2.503,42.4
COMB,1,10,2022-01,XGBoost P (price only),92,1.696,0.957,1.429,2.57,50.0
COMB,1,10,2022-01,Ridge P+M (+macro),92,1.744,0.989,1.481,2.608,39.1
COMB,1,10,2022-01,XGBoost P+M (+macro),92,1.714,0.96,1.437,2.627,43.5
COMB,1,10,2022-01,Ridge P+M+N (+macro+news),92,1.678,0.954,1.432,2.533,42.4
COMB,1,10,2022-01,XGBoost P+M+N (+macro+news),92,1.577,0.888,1.358,2.438,50.0
COMB,1,11,2022-07,naive (no change),98,1.17,0.54,0.739,1.603,4.1
COMB,1,11,2022-07,"ARIMA(1,1,1)",98,1.177,0.543,0.749,1.628,52.0
