ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
SAMP,bank,E2,54,44,2 months,2079,531,28.6,46.3,-17.7,False,1.166,-14.3,7.3,10.2,11.1
SAMP,bank,A,9,66,3 months,2039,527,35.3,53.7,-18.4,False,1.013,-17.1,0.0,0.0,0.0
SAMP,bank,D,38,66,3 months,2039,527,33.2,53.7,-20.5,False,1.106,-16.1,0.0,0.0,0.0
SAMP,bank,E,42,66,3 months,2039,527,34.5,53.7,-19.2,False,1.121,-16.3,10.3,0.0,0.0
SAMP,bank,E2,54,66,3 months,2039,527,29.8,53.7,-23.9,False,1.004,-8.7,8.4,8.5,11.0
SAMP,bank,A,9,132,6 months,1920,514,24.9,76.5,-51.6,False,1.032,-30.9,0.0,0.0,0.0
SAMP,bank,D,38,132,6 months,1920,514,51.2,76.5,-25.3,False,1.025,-20.8,0.0,0.0,0.0
SAMP,bank,E,42,132,6 months,1920,514,54.5,76.5,-22.0,False,1.039,-19.5,11.6,0.0,0.0
SAMP,bank,E2,54,132,6 months,1920,514,45.5,76.5,-30.9,False,1.017,-28.6,9.9,8.0,11.3
SAMP,bank,A,9,252,1 year,1704,490,29.6,85.1,-55.5,False,1.013,-66.7,0.0,0.0,0.0
SAMP,bank,D,38,252,1 year,1704,490,57.8,85.1,-27.3,False,0.831,-20.8,0.0,0.0,0.0
SAMP,bank,E,42,252,1 year,1704,490,54.1,85.1,-31.0,False,0.836,-21.2,5.1,0.0,0.0
SAMP,bank,E2,54,252,1 year,1704,490,28.0,85.1,-57.1,False,0.843,-21.4,4.6,6.3,10.7
LOFC,finance,A,9,1,1 day,2005,502,41.0,32.7,8.4,True,0.993,-35.7,0.0,0.0,0.0
LOFC,finance,D,38,1,1 day,2005,502,40.4,32.7,7.8,True,1.005,-37.3,0.0,0.0,0.0
LOFC,finance,E,42,1,1 day,2005,502,40.6,32.7,8.0,True,1.018,-37.1,9.0,0.0,0.0
LOFC,finance,E2,54,1,1 day,2005,502,40.4,32.7,7.8,True,1.016,-35.9,6.9,14.5,6.2
LOFC,finance,A,9,5,1 week,1998,501,34.3,43.7,-9.4,False,1.025,-29.9,0.0,0.0,0.0
