ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
LFIN,finance,D,38,15,3 weeks,1930,487,47.8,55.4,-7.6,False,0.986,-3.7,0.0,0.0,0.0
LFIN,finance,E,42,15,3 weeks,1930,487,48.9,55.4,-6.6,False,0.968,-3.3,9.3,0.0,0.0
LFIN,finance,E2,54,15,3 weeks,1930,487,44.8,55.4,-10.7,False,1.13,-8.4,7.0,12.0,8.3
LFIN,finance,A,9,22,1 month,1918,485,34.0,56.5,-22.5,False,1.011,-0.8,0.0,0.0,0.0
LFIN,finance,D,38,22,1 month,1918,485,45.2,56.5,-11.3,False,0.972,-2.5,0.0,0.0,0.0
LFIN,finance,E,42,22,1 month,1918,485,49.1,56.5,-7.4,False,0.938,0.4,9.0,0.0,0.0
LFIN,finance,E2,54,22,1 month,1918,485,42.7,56.5,-13.8,False,1.08,-8.2,7.0,11.7,9.5
LFIN,finance,A,9,44,2 months,1878,481,36.0,64.7,-28.7,False,0.994,0.0,0.0,0.0,0.0
LFIN,finance,D,38,44,2 months,1878,481,45.1,64.7,-19.5,False,0.932,0.0,0.0,0.0,0.0
LFIN,finance,E,42,44,2 months,1878,481,49.9,64.7,-14.8,False,0.867,1.5,7.9,0.0,0.0
LFIN,finance,E2,54,44,2 months,1878,481,41.0,64.7,-23.7,False,1.041,-6.0,5.7,10.0,8.7
LFIN,finance,A,9,66,3 months,1838,477,34.8,63.3,-28.5,False,1.012,0.0,0.0,0.0,0.0
LFIN,finance,D,38,66,3 months,1838,477,45.7,63.3,-17.6,False,0.852,1.9,0.0,0.0,0.0
LFIN,finance,E,42,66,3 months,1838,477,41.5,63.3,-21.8,False,0.774,1.3,8.0,0.0,0.0
LFIN,finance,E2,54,66,3 months,1838,477,45.1,63.3,-18.2,False,1.055,-14.7,5.5,10.7,10.7
LFIN,finance,A,9,132,6 months,1720,463,32.0,80.8,-48.8,False,0.997,0.0,0.0,0.0,0.0
LFIN,finance,D,38,132,6 months,1720,463,54.6,80.8,-26.1,False,0.95,-3.9,0.0,0.0,0.0
LFIN,finance,E,42,132,6 months,1720,463,57.5,80.8,-23.3,False,0.844,-4.5,8.3,0.0,0.0
LFIN,finance,E2,54,132,6 months,1720,463,59.6,80.8,-21.2,False,1.115,-15.3,6.0,8.5,14.5
LFIN,finance,A,9,252,1 year,1504,439,44.0,97.0,-53.1,False,1.006,0.0,0.0,0.0,0.0
LFIN,finance,D,38,252,1 year,1504,439,87.7,97.0,-9.3,False,0.848,-9.8,0.0,0.0,0.0
LFIN,finance,E,42,252,1 year,1504,439,87.5,97.0,-9.6,False,0.836,-8.7,8.0,0.0,0.0
LFIN,finance,E2,54,252,1 year,1504,439,83.4,97.0,-13.7,False,0.809,-5.0,6.8,5.9,14.0
CFIN,finance,A,9,1,1 day,1958,490,39.6,34.9,4.7,True,1.009,-17.3,0.0,0.0,0.0
CFIN,finance,D,38,1,1 day,1958,490,40.6,34.9,5.7,True,1.0,-12.7,0.0,0.0,0.0
CFIN,finance,E,42,1,1 day,1958,490,38.8,34.9,3.9,True,1.0,-14.1,8.8,0.0,0.0
CFIN,finance,E2,54,1,1 day,1958,490,41.2,34.9,6.3,True,1.025,-10.2,7.0,14.9,5.2
CFIN,finance,A,9,5,1 week,1951,489,34.8,36.0,-1.2,False,1.004,0.8,0.0,0.0,0.0
CFIN,finance,D,38,5,1 week,1951,489,38.7,36.0,2.7,True,1.029,-3.1,0.0,0.0,0.0
CFIN,finance,E,42,5,1 week,1951,489,38.9,36.0,2.9,True,1.024,-3.5,8.5,0.0,0.0
CFIN,finance,E2,54,5,1 week,1951,489,38.7,36.0,2.7,True,1.08,0.6,6.6,14.3,6.3
CFIN,finance,A,9,10,2 weeks,1942,488,34.8,39.5,-4.7,False,0.991,4.7,0.0,0.0,0.0
CFIN,finance,D,38,10,2 weeks,1942,488,40.6,39.5,1.0,True,1.03,-2.0,0.0,0.0,0.0
