ticker,group,phase,horizon_days,horizon,n_test,indep_windows,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp
CTC,control,D,132,6 months,573,4.3,14.8,85.9,-71.0,False,1.146,-39.1
CTC,control,A,252,1 year,549,2.2,37.5,89.4,-51.9,False,0.99,-1.5
CTC,control,D,252,1 year,549,2.2,23.1,89.4,-66.3,False,1.177,-44.6
DIST,control,A,1,1 day,570,570.0,42.8,36.0,6.8,True,0.999,-12.5
DIST,control,D,1,1 day,570,570.0,40.0,36.0,4.0,True,0.999,-9.1
DIST,control,A,5,1 week,569,113.8,37.1,35.1,1.9,True,0.997,-3.7
DIST,control,D,5,1 week,569,113.8,38.0,35.1,2.8,True,1.023,-2.5
DIST,control,A,10,2 weeks,568,56.8,36.4,30.5,6.0,True,1.005,-4.6
DIST,control,D,10,2 weeks,568,56.8,36.8,30.5,6.3,True,1.046,-3.9
DIST,control,A,15,3 weeks,567,37.8,34.7,31.9,2.8,True,1.003,-4.8
DIST,control,D,15,3 weeks,567,37.8,40.0,31.9,8.1,True,1.038,-4.8
DIST,control,A,22,1 month,566,25.7,35.2,36.0,-0.9,False,0.997,-0.2
DIST,control,D,22,1 month,566,25.7,45.8,36.0,9.7,True,1.052,-8.0
DIST,control,A,44,2 months,561,12.8,34.6,48.7,-14.1,False,0.991,1.4
DIST,control,D,44,2 months,561,12.8,39.2,48.7,-9.4,False,1.079,-14.1
DIST,control,A,66,3 months,557,8.4,35.0,54.2,-19.2,False,1.013,0.0
DIST,control,D,66,3 months,557,8.4,41.5,54.2,-12.7,False,1.114,0.2
DIST,control,A,132,6 months,544,4.1,30.3,68.6,-38.2,False,1.021,0.0
DIST,control,D,132,6 months,544,4.1,41.5,68.6,-27.0,False,1.104,-9.2
DIST,control,A,252,1 year,520,2.1,50.8,92.1,-41.3,False,0.997,-17.5
DIST,control,D,252,1 year,520,2.1,50.8,92.1,-41.3,False,1.026,-29.8
