group,horizon_days,label,fold,test_from,n_test,acc_logistic_%,acc_xgboost_%,best_model,best_acc_%,baseline_%,edge_pp,mag_weighted_edge_pp
FINANCE,5,3-class Buy/Hold/Sell,0,2017-01,77,42.9,45.5,XGBoost,45.5,55.8,-10.4,-22.6
FINANCE,5,3-class Buy/Hold/Sell,1,2017-07,54,37.0,42.6,XGBoost,42.6,46.3,-3.7,4.3
FINANCE,5,3-class Buy/Hold/Sell,2,2018-01,60,38.3,45.0,XGBoost,45.0,46.7,-1.7,17.5
FINANCE,5,3-class Buy/Hold/Sell,3,2018-07,46,30.4,28.3,Logistic,30.4,37.0,-6.5,-24.4
FINANCE,5,3-class Buy/Hold/Sell,4,2019-01,47,34.0,42.6,XGBoost,42.6,48.9,-6.4,-5.7
FINANCE,5,3-class Buy/Hold/Sell,5,2019-07,70,45.7,47.1,XGBoost,47.1,52.9,-5.7,-38.4
FINANCE,5,3-class Buy/Hold/Sell,6,2020-01,51,51.0,21.6,Logistic,51.0,43.1,7.8,39.6
FINANCE,5,3-class Buy/Hold/Sell,7,2020-07,122,33.6,41.0,XGBoost,41.0,41.8,-0.8,-21.0
FINANCE,5,3-class Buy/Hold/Sell,8,2021-01,109,54.1,41.3,Logistic,54.1,56.0,-1.8,2.5
FINANCE,5,3-class Buy/Hold/Sell,9,2021-07,124,40.3,36.3,Logistic,40.3,58.9,-18.5,-30.7
FINANCE,5,3-class Buy/Hold/Sell,10,2022-01,89,52.8,58.4,XGBoost,58.4,49.4,9.0,35.7
FINANCE,5,3-class Buy/Hold/Sell,11,2022-07,91,35.2,37.4,XGBoost,37.4,35.2,2.2,-9.0
FINANCE,5,3-class Buy/Hold/Sell,12,2023-01,119,31.9,34.5,XGBoost,34.5,34.5,0.0,-12.6
FINANCE,5,3-class Buy/Hold/Sell,13,2023-07,123,32.5,29.3,Logistic,32.5,31.7,0.8,-13.9
FINANCE,5,3-class Buy/Hold/Sell,14,2024-01,115,33.0,35.7,XGBoost,35.7,40.0,-4.3,-27.9
FINANCE,5,3-class Buy/Hold/Sell,15,2024-07,125,25.6,34.4,XGBoost,34.4,46.4,-12.0,-19.7
FINANCE,5,3-class Buy/Hold/Sell,16,2025-01,114,32.5,33.3,XGBoost,33.3,43.9,-10.5,-23.0
FINANCE,5,3-class Buy/Hold/Sell,17,2025-07,124,50.8,50.0,Logistic,50.8,41.9,8.9,-18.9
FINANCE,5,3-class Buy/Hold/Sell,18,2026-01,118,30.5,39.8,XGBoost,39.8,30.5,9.3,-3.4
FINANCE,10,binary up/down,0,2017-01,77,45.5,49.4,XGBoost,49.4,85.7,-36.4,-33.7
FINANCE,10,binary up/down,1,2017-07,54,42.6,51.9,XGBoost,51.9,57.4,-5.6,-15.7
FINANCE,10,binary up/down,2,2018-01,60,48.3,38.3,Logistic,48.3,41.7,6.7,25.3
FINANCE,10,binary up/down,3,2018-07,46,30.4,43.5,XGBoost,43.5,58.7,-15.2,-22.5
FINANCE,10,binary up/down,4,2019-01,47,46.8,46.8,Logistic,46.8,57.4,-10.6,-17.3
FINANCE,10,binary up/down,5,2019-07,70,65.7,61.4,Logistic,65.7,77.1,-11.4,-15.7
FINANCE,10,binary up/down,6,2020-01,51,62.7,47.1,Logistic,62.7,43.1,19.6,49.4
FINANCE,10,binary up/down,7,2020-07,122,35.2,49.2,XGBoost,49.2,60.7,-11.5,-47.4
FINANCE,10,binary up/down,8,2021-01,109,66.1,66.1,Logistic,66.1,52.3,13.8,-3.1
FINANCE,10,binary up/down,9,2021-07,124,49.2,47.6,Logistic,49.2,78.2,-29.0,-30.1
FINANCE,10,binary up/down,10,2022-01,89,53.9,49.4,Logistic,53.9,61.8,-7.9,23.6
FINANCE,10,binary up/down,11,2022-07,91,52.7,52.7,Logistic,52.7,51.6,1.1,-8.7
FINANCE,10,binary up/down,12,2023-01,119,58.8,49.6,Logistic,58.8,56.3,2.5,-3.3
FINANCE,10,binary up/down,13,2023-07,123,39.8,43.9,XGBoost,43.9,52.0,-8.1,-0.1
