group,horizon_days,date,prob_up,pred,actual,fwd_ret
BANKS,1,2017-11-28,0.4608666435004533,0,0,-0.006391994360959163
BANKS,1,2017-11-29,0.5047633848608953,1,1,0.0008953375355840176
BANKS,1,2017-11-30,0.4935998797169646,0,0,-0.0027368253861034253
BANKS,1,2017-12-04,0.44001021067600066,0,0,-0.0015707600167108593
BANKS,1,2017-12-05,0.3974503026621959,0,1,0.0033548121467370517
BANKS,1,2017-12-06,0.4087600966073486,0,1,0.0023683526509707953
BANKS,1,2017-12-07,0.40367505321447694,0,0,-0.0007420267412489023
BANKS,1,2017-12-08,0.4099707012396731,0,1,0.0040852909010697935
BANKS,1,2017-12-12,0.33040437305387715,0,0,-0.012793303195960282
BANKS,1,2017-12-13,0.4174805349378108,0,1,0.001340631855148544
BANKS,1,2017-12-14,0.4488686469020663,0,1,0.002106803062496887
BANKS,1,2017-12-15,0.39840782963403265,0,0,-0.0025056590150184244
BANKS,1,2017-12-18,0.40097030998405153,0,0,-0.01974211205991494
BANKS,1,2017-12-19,0.43826693969431985,0,0,-0.0036331583548234736
BANKS,1,2017-12-20,0.4775589959125644,0,0,-0.0007900596642012037
BANKS,1,2017-12-21,0.47707853919137694,0,1,0.004011336523723097
BANKS,1,2017-12-22,0.45330526409147054,0,1,0.009841270991287843
BANKS,1,2017-12-26,0.49699946564773967,0,0,-0.010314569933603135
BANKS,1,2017-12-28,0.5316789275471888,1,1,0.02096920506877531
BANKS,1,2018-01-04,0.6699968883742049,1,1,0.014252916893905176
BANKS,1,2018-01-05,0.6180970720360226,1,1,0.00118623993889444
BANKS,1,2018-01-08,0.6126826830979765,1,0,-0.00048670906798031766
BANKS,1,2018-01-10,0.4912218413145799,0,0,-0.003285295934342569
BANKS,1,2018-01-12,0.5029506844072839,1,0,-0.013237164100458831
BANKS,1,2018-01-16,0.5102378004790373,1,1,0.0008847321939347008
BANKS,1,2018-01-17,0.48585279789195374,0,0,-0.011382127060025726
BANKS,1,2018-01-19,0.5261821855931323,1,0,-0.00395256789725551
BANKS,1,2018-01-22,0.48531376393336745,0,1,0.013092233976570444
BANKS,1,2018-01-24,0.4932102201520255,0,0,-0.0016997625011091477
BANKS,1,2018-01-25,0.5043042727056125,1,0,-0.0020583251195223085
BANKS,1,2018-01-26,0.507637648007235,1,0,-0.0011723508612753175
BANKS,1,2018-01-30,0.5390593708715086,1,1,0.0008228907798935037
BANKS,1,2018-02-01,0.5860466799561689,1,1,0.007852393218553688
BANKS,1,2018-02-02,0.5437163050209771,1,0,-0.007462578873821513
BANKS,1,2018-02-06,0.43445673666866297,0,1,0.0007962624537118934
BANKS,1,2018-02-07,0.4324668800128014,0,1,0.00443114904753239
BANKS,1,2018-02-08,0.4853996811932775,0,0,-0.014448691226082944
BANKS,1,2018-02-12,0.4642127065394313,0,0,-0.008665827704400386
BANKS,1,2018-02-14,0.45829907303722217,0,1,0.0006834628736500648
BANKS,1,2018-02-15,0.5172135812566442,1,1,0.010170883808554132
BANKS,1,2018-02-16,0.5081934256093175,1,1,0.0011436671014801725
BANKS,1,2018-02-19,0.48917877696237894,0,1,0.009274039256884636
BANKS,1,2018-02-21,0.5240164527112825,1,1,0.0005212883983434224
BANKS,1,2018-02-22,0.45217585662058235,0,1,0.00014813412120107117
BANKS,1,2018-02-23,0.530295017463477,1,1,0.00020081146489858703
BANKS,1,2018-02-26,0.5021430746286469,1,0,-0.0002006905620012267
BANKS,1,2018-02-27,0.5515898980323753,1,1,0.004132231676541753
BANKS,1,2018-02-28,0.45273885651952606,0,0,-0.008708211288411594
BANKS,1,2018-03-02,0.4996856667237826,0,1,0.00023723358783334092
BANKS,1,2018-03-05,0.45745060870964926,0,0,-0.0001010193717742025
BANKS,1,2018-03-06,0.4102991062834371,0,0,-0.018385234903828596
BANKS,1,2018-03-07,0.4656771123360123,0,0,-0.010382796513273451
BANKS,1,2018-03-09,0.6223047080104013,1,0,-0.004139349219057009
BANKS,1,2018-03-12,0.5018309998850567,1,0,-0.0006234974770709112
BANKS,1,2018-03-13,0.45788475936698897,0,1,4.526004476890222e-05
BANKS,1,2018-03-14,0.34653167806964985,0,1,0.0018673145637939648
BANKS,1,2018-03-15,0.33902158473143934,0,1,1.546634466942365e-05
BANKS,1,2018-03-19,0.376996602045016,0,0,-0.00491915767622364
BANKS,1,2018-03-20,0.34538695539880954,0,0,-0.002904986855153391
BANKS,1,2018-03-21,0.3829021855228079,0,0,-0.004793337219740956
BANKS,1,2018-03-22,0.4552390963538823,0,0,-0.0004269085318201471
BANKS,1,2018-03-23,0.34251661600817745,0,1,0.006058279657887633
BANKS,1,2018-03-26,0.3590171912039065,0,1,0.005780482795419761
BANKS,1,2018-03-27,0.3435495403196752,0,0,-0.00013551566090941325
BANKS,1,2018-03-28,0.37027489378083694,0,1,0.0034713363400962205
BANKS,1,2018-03-29,0.5017432542852108,1,0,-0.006668543676532801
BANKS,1,2018-04-02,0.43729501353561473,0,1,0.0010462601764713586
BANKS,1,2018-04-03,0.5222162566315265,1,0,-0.0011148278190824534
BANKS,1,2018-04-04,0.46315595763552797,0,1,0.004552298023738022
BANKS,1,2018-04-05,0.5446156025930645,1,1,0.001029156024120459
BANKS,1,2018-04-06,0.41127351544191365,0,0,-0.00016109654119811356
BANKS,1,2018-04-09,0.4216258374341404,0,1,0.005784312468007258
BANKS,1,2018-04-10,0.5262966571935682,1,1,0.007093655932369103
BANKS,1,2018-04-11,0.5665457868930774,1,0,-0.0007243522019420023
BANKS,1,2018-04-12,0.6491905607100187,1,1,0.003090048025214065
BANKS,1,2018-04-16,0.6227797139921589,1,0,-0.0026733255724629146
BANKS,1,2018-04-17,0.6694120912397722,1,0,-0.0008324138804154391
BANKS,1,2018-04-18,0.5757729005260395,1,0,-0.0003633360139201347
BANKS,1,2018-04-19,0.4996953006713541,0,1,0.007279475742198116
BANKS,1,2018-04-23,0.523049859418729,1,0,-0.001738401696413594
BANKS,1,2018-04-24,0.5617926702861366,1,0,-0.0053290536158172586
BANKS,1,2018-04-25,0.5919947022527321,1,0,-0.003505833956507498
BANKS,1,2018-04-26,0.5346880722229698,1,1,0.0036771309888710135
BANKS,1,2018-04-27,0.5649576791288197,1,0,-0.005651515872673651
BANKS,1,2018-05-01,0.5461076800890927,1,0,-0.000540670511886443
BANKS,1,2018-05-02,0.48450385079073865,0,1,0.002715341906296187
BANKS,1,2018-05-03,0.5090117109177201,1,1,0.0010460890448462656
BANKS,1,2018-05-04,0.43794416667051017,0,1,0.0008044951323509242
BANKS,1,2018-05-08,0.42960241171905184,0,0,-0.00032571060639785543
BANKS,1,2018-05-09,0.4632081520533211,0,0,-0.000971138572985697
BANKS,1,2018-05-10,0.4776834199099234,0,0,-0.001107419593757375
BANKS,1,2018-05-11,0.47309595511415337,0,0,-0.0041542280126465325
BANKS,1,2018-05-14,0.3997922105098966,0,1,0.002368692556336427
BANKS,1,2018-05-15,0.44988481796092217,0,1,0.0004128806592944567
BANKS,1,2018-05-16,0.4727938356983204,0,0,-0.002264210070948569
BANKS,1,2018-05-17,0.4180036928408673,0,1,0.0025666685090832697
BANKS,1,2018-05-18,0.5053827809150502,1,1,0.003976533198448706
BANKS,1,2018-05-21,0.41594834922881274,0,0,-0.001133203684396733
BANKS,1,2018-05-22,0.5271802699491922,1,0,-0.0009827254940820707
BANKS,1,2018-05-23,0.5049997184508064,1,1,0.002020934126867102
BANKS,1,2018-05-24,0.524737273779065,1,1,0.0039998418541600245
BANKS,1,2018-05-25,0.5092086753564841,1,0,-0.0008209540769247292
BANKS,1,2018-05-28,0.47317975694581166,0,0,-0.003738234408419805
BANKS,1,2018-05-30,0.4333601049506231,0,0,-0.0017117301063357404
BANKS,1,2018-05-31,0.45582711143928917,0,1,0.005705351195023134
BANKS,1,2018-06-01,0.5106989432844858,1,0,-0.0024627409509372367
BANKS,1,2018-06-04,0.5192429991956757,1,1,0.009901360901077627
BANKS,1,2018-06-05,0.557193493625429,1,0,-0.0024945908342135503
BANKS,1,2018-06-06,0.5225528896826849,1,0,-0.0012120602675583791
BANKS,1,2018-06-07,0.4819527948053624,0,0,-0.006127114087532304
BANKS,1,2018-06-08,0.5255529795022975,1,0,-0.002240519166009425
BANKS,1,2018-06-11,0.5229368215575685,1,0,-0.001885197653574866
BANKS,1,2018-06-12,0.5044432898842743,1,0,-0.0022576062789707585
BANKS,1,2018-06-13,0.47500734359138497,0,0,-5.05728452007137e-05
BANKS,1,2018-06-14,0.45903688248748564,0,0,-0.007078395353102507
BANKS,1,2018-06-18,0.41912073333329214,0,0,-0.010021785525102689
BANKS,1,2018-06-19,0.3724247061365662,0,0,-0.017237495310616024
BANKS,1,2018-06-20,0.3915292888499925,0,0,0.0
BANKS,1,2018-06-21,0.47911012850353746,0,1,0.0027525462933386535
BANKS,1,2018-06-22,0.4119256082825555,0,0,-0.00196176200507836
BANKS,1,2018-06-25,0.39042289568022337,0,0,-0.008496112396083166
BANKS,1,2018-06-26,0.31858114221675415,0,0,-0.0032469118611452297
BANKS,1,2018-06-28,0.3847441840679132,0,0,-0.0010964911120803222
BANKS,1,2018-06-29,0.42799803289966337,0,0,-0.011082899661044698
BANKS,1,2018-07-03,0.23270457895798713,0,0,-0.0054628852818413565
BANKS,1,2018-07-04,0.34462944614143054,0,0,-0.0032851432246476797
BANKS,1,2018-07-05,0.5624792094999975,1,1,0.006328508444726877
BANKS,1,2018-07-06,0.3660904632033697,0,0,-0.005076049232655255
BANKS,1,2018-07-09,0.32362949443830197,0,1,0.010919484559058557
BANKS,1,2018-07-11,0.45464655008008054,0,1,0.009339860159759406
BANKS,1,2018-07-12,0.5162636431380745,1,0,-0.001547461549411544
BANKS,1,2018-07-16,0.5108688650650852,1,1,0.007649928970497877
BANKS,1,2018-07-17,0.5973299335553395,1,0,-0.0010100882794742416
BANKS,1,2018-07-18,0.48704785675659457,0,1,0.014908255003779791
BANKS,1,2018-07-19,0.5362299048414247,1,1,0.003506832453362696
BANKS,1,2018-07-20,0.5080576055723848,1,0,-0.0017583670735197288
BANKS,1,2018-07-23,0.4894000027819383,0,0,-0.000811333299611805
BANKS,1,2018-07-24,0.5145874208471503,1,0,-0.005123915595455886
BANKS,1,2018-07-25,0.499874906150508,0,0,-0.004270708024165071
BANKS,1,2018-07-26,0.5326431709447966,1,0,-0.005078858120042717
BANKS,1,2018-07-30,0.49767980834222353,0,0,-0.006676763021695509
BANKS,1,2018-07-31,0.5612795966049029,1,0,-0.014063175526052518
BANKS,1,2018-08-01,0.5053139790568031,1,1,0.004908709914211995
BANKS,1,2018-08-02,0.5088606127007251,1,0,-0.011823710481218441
BANKS,1,2018-08-07,0.4424353842824486,0,0,-0.0013407828550013878
BANKS,1,2018-08-08,0.48247217848107377,0,1,0.0019825629534537814
BANKS,1,2018-08-09,0.5208323332102996,1,0,-0.007449246180509461
BANKS,1,2018-08-13,0.42590394215949035,0,0,-0.004354558143051301
BANKS,1,2018-08-14,0.39130156213774175,0,1,0.0010539949092347456
BANKS,1,2018-08-15,0.36489203271325094,0,0,-0.0025879209533363756
BANKS,1,2018-08-17,0.34840365729348266,0,0,-0.006052626984829668
BANKS,1,2018-08-21,0.3866715477602417,0,0,-0.004694427314022143
BANKS,1,2018-08-23,0.42496669993630043,0,1,0.0014834393696379067
BANKS,1,2018-08-24,0.3961228199851126,0,1,0.005905472102079923
BANKS,1,2018-08-27,0.3794119776807567,0,0,-0.004652613113572013
BANKS,1,2018-08-28,0.3495342508826365,0,1,0.00806577532862729
BANKS,1,2018-08-29,0.5227800387914258,1,1,0.009524646839407902
BANKS,1,2018-08-30,0.5073738593626527,1,1,0.0022047410941905543
BANKS,1,2018-08-31,0.4854539741634192,0,0,-0.0005807217006894572
BANKS,1,2018-09-03,0.5203740095475577,1,0,-0.0032412747714851697
BANKS,1,2018-09-04,0.5908672296295224,1,1,0.0010201195259216256
BANKS,1,2018-09-05,0.504235395523204,1,0,-0.004329762784915148
BANKS,1,2018-09-07,0.5082191957604759,1,0,-0.007415905385268928
BANKS,1,2018-09-10,0.4610587945728448,0,1,0.005821839450892874
BANKS,1,2018-09-11,0.49736739000169067,0,0,-0.013195408905491979
BANKS,1,2018-09-12,0.4305459205767356,0,0,-0.016245361878650555
BANKS,1,2018-09-14,0.46765882521953456,0,0,-0.0012635004074108558
BANKS,1,2018-09-17,0.4959205984873204,0,0,-0.022582416281253348
BANKS,1,2018-09-18,0.41014308751146106,0,0,-0.002953553297075362
BANKS,1,2018-09-19,0.5006344663415925,1,0,-0.02302507157680178
BANKS,1,2018-09-20,0.3988998178504862,0,0,-0.007136661785208442
BANKS,1,2018-09-21,0.4358718761688206,0,0,-0.012726166424233742
BANKS,1,2018-09-25,0.31375048663510147,0,1,0.010654473084426463
BANKS,1,2018-09-26,0.5652120440060847,1,0,-0.009777344305308633
BANKS,1,2018-09-28,0.4217141213476856,0,0,-0.019327618910187194
BANKS,1,2018-10-01,0.4281192908128764,0,1,0.007335255521368156
BANKS,1,2018-10-02,0.47839878770571503,0,0,-0.0003129874853483594
BANKS,1,2018-10-03,0.5500408526761444,1,1,0.006935280981127168
BANKS,1,2018-10-04,0.508560712985816,1,1,0.006599758297427316
BANKS,1,2018-10-05,0.58331896337502,1,1,0.011395009435171799
BANKS,1,2018-10-08,0.5204909599021457,1,0,-0.018261373260314295
BANKS,1,2018-10-09,0.4792982556714245,0,0,-0.00025050732160614153
BANKS,1,2018-10-10,0.5070936822237803,1,0,-0.01335437573412901
BANKS,1,2018-10-11,0.4913200651706572,0,0,-0.00717507032947684
BANKS,1,2018-10-12,0.494880721692872,0,0,-0.023204169088325233
BANKS,1,2018-10-15,0.43293232379854707,0,1,0.012176558870161447
BANKS,1,2018-10-16,0.5369606162060312,1,0,-0.0019456678916262016
BANKS,1,2018-10-17,0.40984481991419813,0,0,-0.001631015210655673
BANKS,1,2018-10-18,0.4703588828291811,0,0,-0.0006428616805836951
BANKS,1,2018-10-19,0.45639779025252525,0,1,0.006575615779920163
BANKS,1,2018-10-22,0.5359589014865743,1,1,0.0013908139583340695
BANKS,1,2018-10-23,0.5034409582357359,1,0,-0.009782823380494854
BANKS,1,2018-10-25,0.5191144433340888,1,1,0.041033358479132254
BANKS,1,2018-10-26,0.6217955924795485,1,0,-0.00352539537067853
BANKS,1,2018-10-29,0.7416822901074117,1,0,-0.0002923977414471812
BANKS,1,2018-10-30,0.5574866620231539,1,1,0.019301193353725044
BANKS,1,2018-10-31,0.4954418209833685,0,1,0.029062038423206094
BANKS,1,2018-11-01,0.8143048052251683,1,1,0.008100541674645578
BANKS,1,2018-11-02,0.485563212184234,0,0,-0.009989730915692996
BANKS,1,2018-11-05,0.5235807288444679,1,0,-0.02606526243287166
BANKS,1,2018-11-07,0.504604447041702,1,0,-0.014744356358025179
BANKS,1,2018-11-08,0.5516994656742652,1,1,0.0031155636124431396
BANKS,1,2018-11-09,0.6394505399882603,1,1,0.00236258823360469
BANKS,1,2018-11-12,0.5146514559930473,1,1,0.01096520849581073
BANKS,1,2018-11-13,0.4693666571633319,0,0,-0.015527165193903847
BANKS,1,2018-11-14,0.4065372522744616,0,1,0.010911549906362117
