date,s_vader,s_lm,n_articles,neg_share_vader,neg_share_lm
2016-10-30,-0.10456666666666668,0.0,3,0.3333333333333333,0.0
2016-10-31,-0.03722000000000001,-0.36923076923076925,5,0.6,0.6
2016-11-01,-0.30597142857142856,-0.2380952380952381,7,0.7142857142857143,0.42857142857142855
2016-11-02,-0.1645333333333333,-0.05555555555555555,9,0.4444444444444444,0.3333333333333333
2016-11-03,-0.22035999999999997,0.02833333333333332,10,0.6,0.3
2016-11-04,-0.02602500000000002,0.175,8,0.375,0.25
2016-11-05,0.249975,0.125,8,0.0,0.125
2016-11-06,0.4775,0.25,2,0.0,0.0
2016-11-07,0.41968333333333335,-0.08333333333333333,6,0.16666666666666666,0.16666666666666666
2016-11-08,0.732075,0.35416666666666663,4,0.0,0.25
2016-11-09,0.0790142857142857,-0.2571428571428571,7,0.2857142857142857,0.42857142857142855
2016-11-10,-0.4264,-0.25,4,0.75,0.5
2016-11-11,0.10586153846153845,0.12380952380952381,13,0.23076923076923078,0.23076923076923078
2016-11-12,-0.1626,-0.3511072261072261,8,0.375,0.625
2016-11-13,0.32968000000000003,-0.24888888888888888,5,0.2,0.6
2016-11-14,-0.14144285714285715,-0.6285714285714287,7,0.42857142857142855,0.7142857142857143
2016-11-15,0.12723636363636362,-0.0787878787878788,11,0.45454545454545453,0.36363636363636365
2016-11-16,-0.3328625,-0.1111111111111111,8,0.625,0.125
2016-11-17,0.19252307692307694,-0.03296703296703297,13,0.38461538461538464,0.3076923076923077
2016-11-18,0.020883333333333327,-0.4444444444444445,6,0.3333333333333333,0.5
2016-11-19,0.08945454545454547,-0.08831168831168833,11,0.2727272727272727,0.2727272727272727
2016-11-20,0.0,0.0,2,0.0,0.0
2016-11-21,0.06775000000000003,0.0,2,0.5,0.0
2016-11-22,-0.4021333333333333,-0.32222222222222224,6,0.8333333333333334,0.6666666666666666
2016-11-23,-0.29519999999999996,-0.5231481481481481,6,0.5,0.8333333333333334
2016-11-24,0.10303333333333335,0.027777777777777776,6,0.5,0.16666666666666666
2016-11-25,-0.31034285714285714,-0.3095238095238095,7,0.7142857142857143,0.5714285714285714
2016-11-26,-0.4495833333333333,-0.2692307692307692,6,0.8333333333333334,0.3333333333333333
2016-11-27,-0.957,-1.0,1,1.0,1.0
2016-11-28,0.07415,-0.21428571428571427,2,0.5,0.5
2016-11-29,0.1254076923076923,-0.0547008547008547,13,0.46153846153846156,0.3076923076923077
2016-11-30,0.028457142857142848,-0.6666666666666667,7,0.42857142857142855,0.7142857142857143
2016-12-01,-0.14024444444444445,-0.41269841269841273,9,0.5555555555555556,0.4444444444444444
2016-12-02,-0.038754545454545444,-0.6590909090909091,11,0.5454545454545454,0.7272727272727273
2016-12-03,0.07092999999999999,-0.033333333333333326,10,0.3,0.3
2016-12-04,-0.4404,0.0,1,1.0,0.0
2016-12-05,0.68215,-0.2833333333333333,4,0.0,0.5
2016-12-06,0.5180666666666667,0.3845238095238095,6,0.16666666666666666,0.3333333333333333
2016-12-07,-0.3245181818181818,-0.2857142857142857,11,0.7272727272727273,0.45454545454545453
2016-12-08,0.29268,0.2,5,0.2,0.2
2016-12-09,0.1081,0.15333333333333332,10,0.4,0.3
2016-12-10,-0.5696,-0.2571428571428571,4,0.75,0.5
2016-12-11,0.4849,0.5,2,0.0,0.0
2016-12-12,-0.028279999999999993,0.6761904761904762,5,0.4,0.2
2016-12-13,0.3008,1.0,3,0.3333333333333333,0.0
2016-12-14,-0.010700000000000015,0.6333333333333333,4,0.5,0.0
2016-12-15,0.27233999999999997,-0.8,5,0.2,0.8
2016-12-16,-0.14324545454545456,-0.4,11,0.45454545454545453,0.45454545454545453
2016-12-17,0.05958571428571429,-0.15873015873015875,7,0.42857142857142855,0.42857142857142855
2016-12-19,-0.02454999999999996,0.16666666666666666,2,0.5,0.0
2016-12-20,-0.0075999999999999904,-0.38311688311688313,11,0.36363636363636365,0.5454545454545454
2016-12-21,0.22021000000000002,-0.41650793650793655,10,0.2,0.8
2016-12-22,0.09995714285714286,0.0,7,0.42857142857142855,0.14285714285714285
2016-12-23,0.136,0.22727272727272727,11,0.2727272727272727,0.2727272727272727
2016-12-24,0.9822,1.0,1,0.0,0.0
2016-12-25,-0.015100000000000039,0.0,3,0.6666666666666666,0.3333333333333333
2016-12-26,-0.623575,-0.29411764705882354,4,0.75,0.5
2016-12-27,-0.512,-0.5,4,0.75,0.5
2016-12-28,0.16694285714285714,-0.42857142857142855,7,0.42857142857142855,0.5714285714285714
2016-12-29,-0.390075,-0.26666666666666666,4,0.75,0.75
2016-12-30,-0.05017500000000001,-0.25595238095238093,4,0.5,0.5
